                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
  115:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  116:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  117:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  118:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  119:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=80  BUS_STORE MEM[4160] = 80 accepted 1
  120:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4160] accepted 1
  121:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=80  BUS_LOAD  MEM[24] accepted 1
  122:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4416] = 80 accepted 1
  123:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  124:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  125:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4168  BUS_LOAD  MEM[40] accepted 1
  126:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  127:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=9  BUS_LOAD  MEM[48] accepted 1
  128:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
  129:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  130:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  131:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  132:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  133:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=90  BUS_STORE MEM[4168] = 90 accepted 1
  134:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4168] accepted 1
  135:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=90  BUS_LOAD  MEM[24] accepted 1
  136:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4424] = 90 accepted 1
  137:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  138:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  139:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4176  BUS_LOAD  MEM[40] accepted 1
  140:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  141:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=10  BUS_LOAD  MEM[48] accepted 1
  142:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
  143:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  144:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  145:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  146:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  147:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=100  BUS_STORE MEM[4176] = 100 accepted 1
  148:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4176] accepted 1
  149:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=100  BUS_LOAD  MEM[24] accepted 1
  150:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4432] = 100 accepted 1
  151:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  152:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  153:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4184  BUS_LOAD  MEM[40] accepted 1
  154:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  155:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=11  BUS_LOAD  MEM[48] accepted 1
  156:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
  157:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  158:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  159:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  160:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  161:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=110  BUS_STORE MEM[4184] = 110 accepted 1
  162:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4184] accepted 1
  163:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=110  BUS_LOAD  MEM[24] accepted 1
  164:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4440] = 110 accepted 1
  165:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  166:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  167:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4192  BUS_LOAD  MEM[40] accepted 1
  168:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  169:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=12  BUS_LOAD  MEM[48] accepted 1
  170:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
  171:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  172:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  173:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  174:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  175:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=120  BUS_STORE MEM[4192] = 120 accepted 1
  176:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4192] accepted 1
  177:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=120  BUS_LOAD  MEM[24] accepted 1
  178:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4448] = 120 accepted 1
  179:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  180:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  181:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4200  BUS_LOAD  MEM[40] accepted 1
  182:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  183:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=13  BUS_LOAD  MEM[48] accepted 1
  184:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
  185:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  186:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  187:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  188:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  189:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=130  BUS_STORE MEM[4200] = 130 accepted 1
  190:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4200] accepted 1
  191:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=130  BUS_LOAD  MEM[24] accepted 1
  192:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4456] = 130 accepted 1
  193:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  194:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  195:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4208  BUS_LOAD  MEM[40] accepted 1
  196:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  197:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=14  BUS_LOAD  MEM[48] accepted 1
  198:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
  199:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  200:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  201:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  202:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  203:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=140  BUS_STORE MEM[4208] = 140 accepted 1
  204:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4208] accepted 1
  205:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=140  BUS_LOAD  MEM[24] accepted 1
  206:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4464] = 140 accepted 1
  207:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  208:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  209:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4216  BUS_LOAD  MEM[40] accepted 1
  210:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  211:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=15  BUS_LOAD  MEM[48] accepted 1
  212:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
  213:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  214:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  215:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  216:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  217:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=150  BUS_STORE MEM[4216] = 150 accepted 1
  218:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4216] accepted 1
  219:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=150  BUS_LOAD  MEM[24] accepted 1
  220:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4472] = 150 accepted 1
  221:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  222:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  223:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4224  BUS_LOAD  MEM[40] accepted 1
  224:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  225:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=16  BUS_LOAD  MEM[48] accepted 1
  226:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=0  BUS_LOAD  MEM[48] accepted 1
  227:   60:invalid |  56:invalid |  52:-       |  48:wfi     |  44:bne     BUS_LOAD  MEM[56] accepted 1
  228:   64:invalid |  60:invalid |  56:-       |  52:-       |  48:wfi     BUS_LOAD  MEM[56] accepted 1
