                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
  116:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  117:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  118:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
  119:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
  120:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
  121:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3776  BUS_STORE MEM[3800] = 56 accepted 1
  122:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3776] = 5 accepted 1
  123:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
  124:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=4  BUS_LOAD  MEM[56] accepted 1
  125:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  126:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
  127:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
  128:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  129:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  130:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
  131:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
  132:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
  133:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3744  BUS_STORE MEM[3768] = 56 accepted 1
  134:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3744] = 4 accepted 1
  135:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
  136:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=3  BUS_LOAD  MEM[56] accepted 1
  137:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  138:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
  139:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
  140:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  141:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  142:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
  143:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
  144:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
  145:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3712  BUS_STORE MEM[3736] = 56 accepted 1
  146:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3712] = 3 accepted 1
  147:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
  148:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=2  BUS_LOAD  MEM[56] accepted 1
  149:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  150:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
  151:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
  152:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  153:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  154:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
  155:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
  156:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
  157:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3680  BUS_STORE MEM[3704] = 56 accepted 1
  158:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3680] = 2 accepted 1
  159:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
  160:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=1  BUS_LOAD  MEM[56] accepted 1
  161:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  162:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
  163:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
  164:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  165:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  166:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
  167:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
  168:   96:addi    |   0:-       |   0:-       |   0:-       |  36:beq     BUS_LOAD  MEM[88] accepted 1
  169:  100:jalr    |  96:addi    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
  170:  104:invalid | 100:jalr    |  96:addi    |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
  171:  108:invalid | 104:invalid | 100:jalr    |  96:addi    |   0:-       BUS_LOAD  MEM[104] accepted 1
  172:  112:invalid | 108:invalid | 104:-       | 100:jalr    |  96:addi    r1=1  BUS_LOAD  MEM[104] accepted 1
  173:   60:sw      |   0:-       |   0:-       |   0:-       | 100:jalr    BUS_LOAD  MEM[56] accepted 1
  174:   64:lw      |  60:sw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
  175:   68:addi    |  64:lw      |  60:sw      |   0:-       |   0:-       BUS_LOAD  MEM[64] accepted 1
  176:   72:-       |  68:addi    |  64:lw      |  60:sw      |   0:-       BUS_STORE MEM[3688] = 1 accepted 1
  177:   72:-       |  68:addi    |   0:-       |  64:lw      |  60:sw      BUS_LOAD  MEM[3680] accepted 1
  178:   72:jal     |  72:-       |  68:addi    |   0:-       |  64:lw      r17=2  BUS_LOAD  MEM[64] accepted 1
  179:   76:lw      |  72:jal     |  72:-       |  68:addi    |   0:-       BUS_LOAD  MEM[72] accepted 1
  180:   80:add     |  76:lw      |  72:jal     |  72:-       |  68:addi    r17=0  BUS_LOAD  MEM[72] accepted 1
  181:   84:-       |  80:add     |  76:lw      |  72:jal     |  72:-       BUS_LOAD  MEM[80] accepted 1
  182:   32:beq     |   0:-       |   0:-       |   0:-       |  72:jal     r27=72  BUS_LOAD  MEM[24] accepted 1
  183:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  184:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  185:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
  186:   96:addi    |   0:-       |   0:-       |   0:-       |  32:beq     BUS_LOAD  MEM[88] accepted 1
  187:  100:jalr    |  96:addi    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
  188:  104:invalid | 100:jalr    |  96:addi    |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
  189:  108:invalid | 104:invalid | 100:jalr    |  96:addi    |   0:-       BUS_LOAD  MEM[104] accepted 1
  190:  112:invalid | 108:invalid | 104:-       | 100:jalr    |  96:addi    r1=1  BUS_LOAD  MEM[104] accepted 1
  191:   76:lw      |   0:-       |   0:-       |   0:-       | 100:jalr    BUS_LOAD  MEM[72] accepted 1
  192:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
  193:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
  194:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3688] accepted 1
  195:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=1  BUS_LOAD  MEM[80] accepted 1
  196:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
  197:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=2  BUS_LOAD  MEM[88] accepted 1
  198:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3704] accepted 1
  199:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=56  BUS_LOAD  MEM[88] accepted 1
  200:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3712  BUS_LOAD  MEM[96] accepted 1
  201:   60:sw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[56] accepted 1
  202:   64:lw      |  60:sw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
  203:   68:addi    |  64:lw      |  60:sw      |   0:-       |   0:-       BUS_LOAD  MEM[64] accepted 1
  204:   72:-       |  68:addi    |  64:lw      |  60:sw      |   0:-       BUS_STORE MEM[3720] = 2 accepted 1
  205:   72:-       |  68:addi    |   0:-       |  64:lw      |  60:sw      BUS_LOAD  MEM[3712] accepted 1
  206:   72:jal     |  72:-       |  68:addi    |   0:-       |  64:lw      r17=3  BUS_LOAD  MEM[64] accepted 1
  207:   76:lw      |  72:jal     |  72:-       |  68:addi    |   0:-       BUS_LOAD  MEM[72] accepted 1
  208:   80:add     |  76:lw      |  72:jal     |  72:-       |  68:addi    r17=1  BUS_LOAD  MEM[72] accepted 1
  209:   84:-       |  80:add     |  76:lw      |  72:jal     |  72:-       BUS_LOAD  MEM[80] accepted 1
  210:   32:beq     |   0:-       |   0:-       |   0:-       |  72:jal     r27=72  BUS_LOAD  MEM[24] accepted 1
  211:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  212:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  213:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
  214:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
  215:   96:addi    |   0:-       |   0:-       |   0:-       |  36:beq     BUS_LOAD  MEM[88] accepted 1
  216:  100:jalr    |  96:addi    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
  217:  104:invalid | 100:jalr    |  96:addi    |   0:-       |   0:-       BUS_LOAD  MEM[96] accepted 1
  218:  108:invalid | 104:invalid | 100:jalr    |  96:addi    |   0:-       BUS_LOAD  MEM[104] accepted 1
  219:  112:invalid | 108:invalid | 104:-       | 100:jalr    |  96:addi    r1=1  BUS_LOAD  MEM[104] accepted 1
  220:   76:lw      |   0:-       |   0:-       |   0:-       | 100:jalr    BUS_LOAD  MEM[72] accepted 1
  221:   80:add     |  76:lw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[72] accepted 1
  222:   84:-       |  80:add     |  76:lw      |   0:-       |   0:-       BUS_LOAD  MEM[80] accepted 1
  223:   84:-       |  80:add     |   0:-       |  76:lw      |   0:-       BUS_LOAD  MEM[3720] accepted 1
  224:   84:lw      |  84:-       |  80:add     |   0:-       |  76:lw      r2=2  BUS_LOAD  MEM[80] accepted 1
  225:   88:addi    |  84:lw      |  84:-       |  80:add     |   0:-       BUS_LOAD  MEM[80] accepted 1
  226:   92:jalr    |  88:addi    |  84:lw      |  84:-       |  80:add     r1=3  BUS_LOAD  MEM[88] accepted 1
  227:   96:-       |  92:jalr    |  88:addi    |  84:lw      |  84:-       BUS_LOAD  MEM[3736] accepted 1
  228:   96:addi    |  96:-       |  92:jalr    |  88:addi    |  84:lw      r27=56  BUS_LOAD  MEM[88] accepted 1
  229:  100:jalr    |  96:addi    |  96:-       |  92:jalr    |  88:addi    r31=3744  BUS_LOAD  MEM[96] accepted 1
  230:   60:sw      |   0:-       |   0:-       |   0:-       |  92:jalr    BUS_LOAD  MEM[56] accepted 1
  231:   64:lw      |  60:sw      |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[56] accepted 1
  232:   68:addi    |  64:lw      |  60:sw      |   0:-       |   0:-       BUS_LOAD  MEM[64] accepted 1
  233:   72:-       |  68:addi    |  64:lw      |  60:sw      |   0:-       BUS_STORE MEM[3752] = 3 accepted 1
  234:   72:-       |  68:addi    |   0:-       |  64:lw      |  60:sw      BUS_LOAD  MEM[3744] accepted 1
  235:   72:jal     |  72:-       |  68:addi    |   0:-       |  64:lw      r17=4  BUS_LOAD  MEM[64] accepted 1
  236:   76:lw      |  72:jal     |  72:-       |  68:addi    |   0:-       BUS_LOAD  MEM[72] accepted 1
  237:   80:add     |  76:lw      |  72:jal     |  72:-       |  68:addi    r17=2  BUS_LOAD  MEM[72] accepted 1
  238:   84:-       |  80:add     |  76:lw      |  72:jal     |  72:-       BUS_LOAD  MEM[80] accepted 1
